sample_id,row_index,item_index,verdict,repo,author,linkedin_url,school,current_company,tenure
run-85ba94e3-00000,0,0,,,,,,,
run-85ba94e3-00001,1,0,,,,,,,
run-85ba94e3-00002,2,0,fail,,,,,,
run-85ba94e3-00003,3,0,fail,,,,,,
run-85ba94e3-00004,4,0,fail,,,,,,
run-85ba94e3-00005,5,0,,,,,,,
run-85ba94e3-00006,6,0,fail,,,,,,
run-85ba94e3-00007,7,0,fail,,,,,,
run-85ba94e3-00008,8,0,fail,,,,,,
run-85ba94e3-00009,9,0,fail,,,,,,
run-85ba94e3-00010,10,0,,,,,,,
run-85ba94e3-00011,11,0,,,,,,,
run-85ba94e3-00012,12,0,fail,microsoft/playwright,2015kmadanap,,,,
run-85ba94e3-00012,12,1,fail,microsoft/playwright,sianux1209,,,,
run-85ba94e3-00013,13,0,fail,,,,,,
run-85ba94e3-00014,14,0,fail,anthropic-sdk-python,stainless-app bot,,,,
run-85ba94e3-00014,14,1,fail,anthropic-sdk-python,nightcityblade,,,,
run-85ba94e3-00014,14,2,fail,anthropic-sdk-python,muhammadrashid4587,,,,
run-85ba94e3-00014,14,3,fail,anthropic-sdk-python,nuglifeleoji,,,,
run-85ba94e3-00014,14,4,fail,anthropic-sdk-python,yuribodo,,,,
run-85ba94e3-00014,14,5,fail,anthropic-sdk-python,hkc5,,,,
run-85ba94e3-00014,14,6,fail,anthropic-sdk-python,abdelhadi703,,,,
run-85ba94e3-00014,14,7,fail,anthropic-sdk-python,Scottcjn,,,,
run-85ba94e3-00014,14,8,fail,anthropic-sdk-python,joshuaswanson,,,,
run-85ba94e3-00014,14,9,fail,anthropic-sdk-python,tombudd,,,,
run-85ba94e3-00014,14,10,fail,anthropic-sdk-python,JakeBx,,,,
run-85ba94e3-00014,14,11,fail,anthropic-sdk-python,RobertCraigie,,,,
run-85ba94e3-00014,14,12,fail,anthropic-sdk-python,JasonOA888,,,,
